"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
516,"1","ok_bottle","2025-10-27T19:08:55.885108Z",1312,"/data/upload/6/6d385cea-frame_0000t_1.jpg",6.033,"2025-10-27T19:08:55.885108Z"
517,"1","ok_bottle","2025-10-27T19:09:02.550859Z",1313,"/data/upload/6/53a14688-frame_0000t_2.jpg",3.316,"2025-10-27T19:09:02.550859Z"
518,"1","ok_bottle","2025-10-27T19:09:10.012096Z",1316,"/data/upload/6/cedd53f2-frame_0000t_5.jpg",5.43,"2025-10-27T19:09:10.012096Z"
519,"1","ok_bottle","2025-10-27T19:09:16.415647Z",1317,"/data/upload/6/b301031f-frame_0000t_6.jpg",4.311,"2025-10-27T19:09:16.415647Z"
520,"1","ok_bottle","2025-10-27T19:09:24.934038Z",1321,"/data/upload/6/bb11f1ee-frame_0000t_10.jpg",5.655,"2025-10-27T19:09:24.934038Z"
521,"1","ok_bottle","2025-10-27T19:09:30.890173Z",1322,"/data/upload/6/a02b89f3-frame_0000t_11.jpg",3.182,"2025-10-27T19:09:30.890173Z"
523,"1","damaged_bottle","2025-10-27T19:10:02.093889Z",1326,"/data/upload/6/82ce7f8f-frame_0000t_15.jpg",6.726,"2025-10-27T19:10:02.093889Z"
522,"1","ok_bottle","2025-10-27T19:09:52.454127Z",1330,"/data/upload/6/cb01b11e-frame_0000t_19.jpg",4.26,"2025-10-27T19:09:52.454127Z"
524,"1","ok_bottle","2025-10-27T19:10:08.455642Z",1331,"/data/upload/6/c239312e-frame_0000t_20.jpg",3.326,"2025-10-27T19:10:08.455642Z"
525,"1","ok_bottle","2025-10-27T19:10:19.312622Z",1336,"/data/upload/6/13cf6079-frame_0000t_25.jpg",4.256,"2025-10-27T19:10:19.312622Z"
526,"1","ok_bottle","2025-10-27T19:10:45.091758Z",1345,"/data/upload/6/1b672343-frame_0000t_34.jpg",6.277,"2025-10-27T19:10:45.091758Z"
527,"1","ok_bottle","2025-10-27T19:10:54.648071Z",1346,"/data/upload/6/583e4337-frame_0000t_35.jpg",7.162,"2025-10-27T19:10:54.648071Z"
528,"1","ok_bottle","2025-10-27T19:11:02.707575Z",1349,"/data/upload/6/7ff6ea63-frame_0000t_38.jpg",4.018,"2025-10-27T19:11:02.707575Z"
529,"1","ok_bottle","2025-10-27T19:11:07.668229Z",1350,"/data/upload/6/431dfe41-frame_0000t_39.jpg",3.044,"2025-10-27T19:11:07.668229Z"
