"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
1,"1","ok_bottle","2025-10-27T10:51:27.344737Z",1,"/data/upload/1/1dbc9c88-frame_0000.jpg",9.198,"2025-10-27T10:51:27.344737Z"
2,"1","ok_bottle","2025-10-27T10:52:43.270285Z",4,"/data/upload/1/ab99d24f-frame_0003.jpg",127.255,"2025-10-27T11:13:05.436812Z"
4,"1","ok_bottle","2025-10-27T11:03:05.253708Z",5,"/data/upload/1/5ae32048-frame_0004.jpg",14.358,"2025-10-27T11:13:10.865039Z"
5,"1","ok_bottle","2025-10-27T11:03:44.673088Z",9,"/data/upload/1/e2ecec7b-frame_0008.jpg",34.538000000000004,"2025-10-27T11:03:44.673088Z"
6,"1","ok_bottle","2025-10-27T11:03:52.398022Z",10,"/data/upload/1/8db6e9d2-frame_0009.jpg",13.334,"2025-10-27T11:03:52.398022Z"
7,"1","oldmark_bottle","2025-10-27T11:04:05.645458Z",13,"/data/upload/1/cce1b8eb-frame_0012.jpg",28.692999999999998,"2025-10-27T12:20:27.745979Z"
8,"1","oldmark_bottle","2025-10-27T11:04:26.195189Z",14,"/data/upload/1/e5b05782-frame_0013.jpg",27.703999999999997,"2025-10-27T12:20:22.282355Z"
9,"1","ok_bottle","2025-10-27T11:05:02.680057Z",18,"/data/upload/1/c69c1773-frame_0017.jpg",19.96,"2025-10-27T11:14:02.795441Z"
10,"1","ok_bottle","2025-10-27T11:05:07.689686Z",19,"/data/upload/1/9ac6ed0c-frame_0018.jpg",8.48,"2025-10-27T11:05:07.689686Z"
12,"1","ok_bottle","2025-10-27T11:05:21.693569Z",23,"/data/upload/1/da1cedf2-frame_0022.jpg",12.686,"2025-10-27T11:05:21.693569Z"
11,"1","ok_bottle","2025-10-27T11:05:14.794469Z",24,"/data/upload/1/91642784-frame_0023.jpg",9.161,"2025-10-27T11:05:14.794469Z"
20,"1","ok_bottle","2025-10-27T11:14:43.858371Z",28,"/data/upload/1/a459449c-frame_0027.jpg",35.832,"2025-10-27T11:14:43.858371Z"
13,"1","oldmark_bottle","2025-10-27T11:05:31.521325Z",29,"/data/upload/1/c2b21cfd-frame_0028.jpg",16.323,"2025-10-27T11:05:31.521325Z"
14,"1","oldmark_bottle","2025-10-27T11:06:20.836587Z",33,"/data/upload/1/dfc39aa2-frame_0032.jpg",33.931,"2025-10-27T12:20:08.262289Z"
15,"1","oldmark_bottle","2025-10-27T11:06:27.179489Z",34,"/data/upload/1/be24eafb-frame_0033.jpg",133.45499999999998,"2025-10-27T11:06:27.179489Z"
16,"1","ok_bottle","2025-10-27T11:06:37.383050Z",37,"/data/upload/1/058bf9b4-frame_0036.jpg",45.805,"2025-10-27T11:15:25.183567Z"
